League,Hidden_Gems_Count,Avg_HG_Index,Avg_Value_Score,Avg_Age
MLS,100,9.93,8.57,22.31
K League 1,79,10.5,8.69,22.52
Sudamericana,74,9.38,8.26,22.82
EFL Championship,71,9.41,8.61,22.0
CSL,58,9.65,8.89,24.81
EFL League Two,58,10.36,9.74,23.17
PKO BP Ekstraklasa,55,9.47,8.55,23.16
Libertadores,54,8.62,7.83,23.44
Eredivisie,54,9.21,8.41,22.2
3. Liga,52,9.67,8.36,22.71
EFL League One,50,9.95,9.14,22.7
SUPERLIGA,49,9.01,7.97,23.69
ISL,48,11.07,10.26,24.08
Ligue 2 BKT,45,9.01,7.99,22.96
LALIGA HYPERMOTION,44,8.53,8.09,23.82
